age,annual_income,loan_amount,loan_term_months,credit_score,existing_debt,derogatory_marks,employment_length_years,dti_ratio,loan_to_income,default
55,36310.83,46932.16,60,485,30857.66,0,20,10.4563,1.2925,1
63,32453.9,42439.56,48,716,31317.98,0,7,11.9069,1.3077,1
37,112771.11,45623.28,60,731,14206.97,0,13,1.5927,0.4046,1
65,189490.53,16135.65,36,365,32347.13,0,11,2.0769,0.0852,1
63,37116.88,29539.11,24,380,34402.75,0,10,11.5204,0.7958,1
54,44344.45,17429.58,24,335,8007.28,0,12,2.3634,0.393,1
29,81258.35,14333.53,36,316,14360.36,1,9,2.1795,0.1764,1
46,32069.91,31140.17,24,813,10812.69,0,19,4.5314,0.971,1
22,82367.4,41263.78,48,332,15287.15,1,7,2.3524,0.501,1
29,48410.81,6492.69,48,648,18152.71,0,9,4.5332,0.1341,1
29,17218.78,15236.9,36,679,20643.77,0,20,14.6819,0.8849,1
60,22465.58,11846.44,36,807,1886.6,1,5,1.1835,0.5273,0
37,40026.12,40320.81,36,566,2679.07,0,0,1.139,1.0074,1
21,102106.24,46801.86,36,816,26381.77,0,8,3.2533,0.4584,0
45,28695.03,5837.25,24,784,17988.28,2,3,7.6242,0.2034,1
63,35580.02,20202.24,24,646,4044.64,0,0,1.648,0.5678,1
60,55640.94,45896.43,24,742,15756.08,0,22,3.8105,0.8249,1
62,18011.06,18542.63,48,677,19282.05,1,9,13.1042,1.0295,1
45,58637.63,36207.75,60,657,25605.81,2,19,5.3636,0.6175,1
59,19414.12,6831.99,48,837,5174.04,1,20,3.2861,0.3519,1
55,68893.05,23330.6,60,509,39794.77,0,6,6.9993,0.3386,1
23,30173.92,26158.44,36,341,19250.87,0,22,7.9449,0.8669,1
57,27855.08,38367.88,36,312,27391.23,0,24,12.2593,1.3774,1
64,57738.41,15863.58,24,788,36374.62,0,24,7.6973,0.2747,1
64,78936.13,14681.05,24,486,1757.02,2,6,0.3601,0.186,1
50,61436.29,16542.45,60,362,24253.68,3,24,4.7912,0.2693,1
58,55524.86,28673.43,60,635,21844.05,0,4,4.8242,0.5164,1
54,55998.56,44048.21,24,374,2767.57,0,1,0.9864,0.7866,1
32,61660.15,41885.19,36,448,27874.6,0,8,5.6512,0.6793,1
39,64139.89,4781.39,24,506,9220.9,0,5,1.7624,0.0745,1
57,38693.67,44189.85,36,540,28224.32,1,21,9.1338,1.142,1
64,72598.66,6565.25,36,534,14823.85,0,8,2.4804,0.0904,1
69,30366.21,21936.71,48,424,30919.98,1,14,12.3994,0.7224,1
37,94356.55,38739.41,48,556,37699.58,0,12,4.8972,0.4106,1
30,78391.14,5912.53,60,391,34490.25,2,14,5.2948,0.0754,1
69,181414.66,3939.18,36,506,19561.66,0,0,1.3012,0.0217,1
67,66723.27,17839.8,24,716,9398.28,0,14,1.8239,0.2674,1
32,84580.57,37036.43,36,587,39700.73,2,17,5.7786,0.4379,1
36,19219.43,27044.31,60,514,26550.2,0,10,16.8585,1.4071,1
44,86251.1,22016.09,36,811,16140.13,2,2,2.3306,0.2553,1
39,99297.3,41027.52,36,667,19520.19,0,0,2.4967,0.4132,1
28,120913.75,38802.04,60,700,5558.18,0,3,0.6158,0.3209,0
51,52695.21,39730.07,36,500,20459.04,0,1,4.9103,0.754,1
41,39929.23,24066.89,48,584,7340.0,0,15,2.3566,0.6027,1
37,25496.36,2933.56,60,362,14946.95,0,18,7.0579,0.1151,1
43,26934.91,10262.57,48,660,19924.79,0,15,8.9721,0.381,1
57,48273.4,37582.42,60,486,37938.05,3,11,9.5865,0.7785,1
36,17139.43,38152.33,36,782,25175.38,1,7,18.3683,2.226,1
26,30917.23,48670.33,48,670,15189.66,1,3,6.2892,1.5742,1
28,51725.87,11128.95,48,320,4967.03,3,15,1.2061,0.2152,1
45,51037.81,7900.49,24,607,30013.95,0,8,7.1343,0.1548,1
38,27401.79,8661.9,48,345,18940.69,0,21,8.3737,0.3161,1
45,23381.07,10869.83,48,493,3192.13,1,14,1.7545,0.4649,1
32,25573.0,27366.48,36,356,26446.55,0,11,12.7666,1.0701,1
35,42936.98,48810.15,48,756,14329.16,0,16,4.2889,1.1368,1
46,175936.48,30292.71,48,632,16453.71,0,21,1.1653,0.1722,0
61,92614.73,27089.03,48,315,33634.73,0,22,4.4311,0.2925,1
65,55743.53,34321.1,36,812,5923.68,0,14,1.4804,0.6157,0
46,68345.74,5548.66,60,449,13944.81,0,3,2.4646,0.0812,1
67,90176.03,41137.0,36,512,14864.89,0,7,2.1302,0.4562,1
52,73524.3,33050.22,48,690,631.51,0,2,0.2154,0.4495,0
30,40744.41,10217.2,60,580,33890.49,1,6,10.0315,0.2508,1
36,29514.8,32274.34,36,838,33494.85,0,6,13.9827,1.0935,1
27,45471.25,30617.98,36,641,26642.53,0,14,7.2555,0.6733,1
37,89549.34,5112.94,60,636,36008.17,2,19,4.8367,0.0571,1
43,41679.53,14812.75,24,374,11279.02,0,16,3.4251,0.3554,1
46,25265.49,20765.2,48,392,9214.9,0,9,4.5821,0.8219,1
41,17429.7,13754.65,24,845,3206.57,0,15,2.6022,0.7891,0
42,45587.17,13671.76,48,414,23884.51,0,15,6.3621,0.2999,1
27,26492.44,29501.53,48,720,20106.04,0,21,9.3856,1.1136,1
34,37725.46,24601.23,24,412,32510.65,0,14,10.6673,0.6521,1
35,117446.66,34030.02,24,667,19510.84,0,11,2.1384,0.2897,1
27,47462.26,47907.54,48,359,8527.83,1,6,2.4085,1.0094,1
29,31248.4,33706.69,60,581,32479.08,0,2,12.6883,1.0787,1
68,58997.52,29940.6,60,536,18490.46,0,20,3.8624,0.5075,1
28,155215.97,42682.86,24,344,38255.29,0,23,3.0951,0.275,1
43,45596.32,32339.51,24,496,21611.62,1,22,6.0424,0.7093,1
49,11928.48,9946.94,36,798,5111.19,0,1,5.4198,0.8339,1
38,72406.11,17107.94,60,748,34115.47,2,3,5.7013,0.2363,1
51,60346.49,37201.29,60,494,35197.21,1,22,7.1223,0.6165,1
50,51744.5,37442.35,48,494,18094.55,0,24,4.3772,0.7236,1
59,42980.15,49376.42,36,609,1526.72,0,22,0.8092,1.1488,1
55,30201.19,32094.79,48,847,1674.08,0,7,0.9308,1.0627,0
38,121659.88,45178.17,36,688,14370.4,0,9,1.5412,0.3713,0
62,16268.96,4619.85,60,734,28791.17,3,11,21.2932,0.284,1
59,40726.06,29178.67,48,795,13576.55,1,11,4.1795,0.7165,1
37,40158.76,46152.71,36,500,805.33,0,8,0.6237,1.1493,1
34,81802.66,15787.72,48,833,34018.56,2,10,5.0386,0.193,1
51,102888.01,9434.08,36,596,38764.93,1,12,4.5518,0.0917,1
44,42785.72,18824.49,24,793,14181.59,0,0,4.1975,0.44,1
55,55038.02,40027.34,48,630,3386.45,0,2,0.9202,0.7273,1
64,57918.5,6065.64,24,560,12010.76,3,21,2.5408,0.1047,1
65,92225.85,30816.26,36,354,32060.73,0,23,4.283,0.3341,1
54,91093.18,8510.32,48,581,21919.21,0,10,2.9108,0.0934,0
23,35488.07,22905.56,36,741,15667.43,0,14,5.513,0.6454,1
57,63751.04,48366.9,36,558,13701.96,0,6,2.832,0.7587,1
63,61694.56,11366.92,24,445,5058.1,0,15,1.076,0.1842,1
60,45727.45,3632.79,48,690,13910.79,0,5,3.6704,0.0794,1
46,61345.01,22505.76,60,672,19069.28,0,19,3.8036,0.3669,1
43,49618.18,29729.39,36,344,27089.07,1,23,6.7511,0.5992,1
64,53891.84,16280.85,24,696,10852.1,1,9,2.5675,0.3021,1
59,21728.85,28004.86,60,561,35946.47,0,3,20.1096,1.2888,1
35,28260.58,47763.29,24,778,19649.59,1,5,9.1887,1.6901,1
69,80069.74,16965.0,24,784,16503.87,0,11,2.5794,0.2119,1
24,23709.88,16852.5,24,815,23961.17,3,2,12.4826,0.7108,1
49,64994.99,25172.86,36,785,7121.14,0,11,1.4439,0.3873,0
42,46683.42,26735.18,60,765,4710.12,0,22,1.3253,0.5727,0
45,90979.8,2065.56,36,765,14188.34,0,15,1.879,0.0227,0
33,72350.69,31562.01,36,321,2077.37,0,11,0.49,0.4362,1
38,37347.92,49873.15,48,695,15414.54,0,14,5.2866,1.3354,1
53,42875.29,16016.39,60,508,27023.67,2,21,7.6381,0.3736,1
36,14893.46,32278.88,48,444,32578.83,0,22,26.7913,2.1673,1
65,45331.67,2221.84,24,719,23400.64,2,20,6.219,0.049,1
62,22877.54,31007.68,60,648,27807.5,0,20,14.857,1.3554,1
64,42992.29,23459.28,60,604,33408.63,0,17,9.4341,0.5457,1
22,33431.34,27454.07,36,343,31038.64,0,15,11.4149,0.8212,1
55,28970.19,28107.44,24,406,13139.29,0,5,5.9277,0.9702,1
62,99970.93,10493.74,36,449,23150.2,3,16,2.8138,0.105,1
54,22794.48,38958.47,48,563,10961.7,1,22,6.198,1.7091,1
50,27506.04,28662.54,24,409,23265.18,1,2,10.6709,1.042,1
33,32243.55,14969.33,36,317,17327.05,0,17,6.6033,0.4643,1
33,36729.27,46994.31,36,635,15225.57,0,10,5.4009,1.2795,1
38,28967.59,2613.14,36,538,7750.78,0,22,3.2409,0.0902,1
52,39517.97,36844.99,24,627,22689.25,1,24,7.356,0.9324,1
52,58764.46,20299.29,48,593,29307.98,0,16,6.0712,0.3454,1
55,73270.64,27082.15,60,712,23065.55,0,5,3.8515,0.3696,1
59,71167.02,15992.47,36,760,3234.45,0,23,0.6203,0.2247,1
66,15600.82,17420.1,24,380,37010.92,0,17,29.0268,1.1166,1
49,61581.55,2727.98,60,554,716.9,0,4,0.1486,0.0443,0
69,63904.12,37032.56,36,662,35459.79,0,15,6.8519,0.5795,1
49,32943.87,36118.32,24,756,30759.9,0,19,11.7527,1.0964,1
64,133333.73,33409.19,48,742,4314.01,0,9,0.4509,0.2506,0
36,94145.78,44141.63,36,832,9844.29,1,15,1.4111,0.4689,1
64,43922.65,45260.84,24,537,14284.2,0,2,4.4178,1.0305,1
67,34283.48,28709.33,36,560,36456.89,0,9,13.0399,0.8374,1
30,132040.86,34871.53,24,572,39207.09,0,23,3.6952,0.2641,1
50,48464.74,2527.92,48,579,3943.15,3,17,0.9894,0.0522,1
45,51586.86,42624.47,48,449,16178.82,0,15,3.97,0.8263,1
59,51198.93,41187.84,24,451,6396.63,0,16,1.9015,0.8045,1
40,195216.15,2971.93,60,311,11498.24,0,16,0.7098,0.0152,0
25,43048.85,28055.61,48,313,39252.28,0,9,11.1046,0.6517,1
21,48330.34,45519.47,36,810,39384.83,1,4,10.0929,0.9418,1
50,29773.15,10706.62,48,841,19149.45,1,24,7.808,0.3596,1
69,38804.84,18926.96,36,744,7733.98,0,3,2.5542,0.4877,1
23,26401.2,17890.58,48,617,22107.23,1,14,10.2177,0.6776,1
65,30138.54,19085.14,48,537,13167.07,1,15,5.4009,0.6332,1
34,16548.14,4010.53,36,838,37188.82,0,22,27.0485,0.2424,1
50,83192.69,15392.85,48,373,32819.47,0,17,4.7802,0.185,1
24,53854.85,16153.1,36,733,12699.21,1,18,2.9296,0.2999,1
38,56583.1,43561.86,36,597,1223.21,1,9,0.516,0.7699,0
57,47502.47,18901.57,48,595,39922.92,0,10,10.1847,0.3979,1
45,51177.72,23466.4,48,313,27492.09,0,8,6.5609,0.4585,1
68,129506.12,20275.43,36,694,17316.24,2,4,1.6567,0.1566,0
21,30906.95,7792.33,24,490,11894.0,0,5,4.7441,0.2521,1
66,57931.36,49537.12,48,720,674.77,3,2,0.3535,0.8551,0
35,57745.15,41639.61,60,405,6581.4,1,12,1.5119,0.7211,1
29,97264.91,27964.17,48,693,731.92,0,5,0.1622,0.2875,0
35,63779.87,24865.5,24,737,24104.58,0,10,4.7301,0.3899,1
69,65732.67,33164.23,24,306,26702.06,0,15,5.1269,0.5045,1
44,23041.18,17668.7,48,380,30788.45,0,10,16.2265,0.7668,1
24,30171.67,4413.58,48,784,7886.47,0,9,3.1732,0.1463,1
32,24339.77,21407.21,60,656,4290.85,2,15,2.2914,0.8795,1
57,11097.52,49230.92,48,610,26193.13,0,23,29.4323,4.4362,1
57,62213.02,10752.65,24,805,20245.82,1,13,3.9915,0.1728,1
63,41899.23,27329.85,60,818,35089.59,0,15,10.1802,0.6523,1
26,62282.95,2409.03,48,748,21564.01,1,16,4.1644,0.0387,1
59,50075.82,7857.51,60,584,18070.44,0,23,4.3617,0.1569,1
66,56628.17,30185.2,60,581,19777.1,2,7,4.2975,0.533,1
44,109411.28,16275.87,24,373,31401.71,0,22,3.5185,0.1488,1
31,49235.84,45472.86,24,344,1223.06,0,3,0.7599,0.9236,1
33,73232.42,21496.15,36,828,36769.35,0,16,6.1229,0.2935,1
54,40890.53,11985.61,24,756,28710.47,1,9,8.5721,0.2931,1
45,80408.32,28188.4,36,706,35468.94,0,1,5.4102,0.3506,1
27,23300.2,40158.73,24,392,38404.16,0,11,20.6406,1.7235,1
24,16276.32,2932.15,24,621,9427.15,0,18,7.0404,0.1801,1
28,173511.0,26264.97,36,765,23344.46,2,20,1.665,0.1514,0
40,147529.36,39124.47,36,626,19698.73,0,18,1.6907,0.2652,1
49,15255.44,6972.26,36,714,21735.95,0,7,17.25,0.457,1
65,47970.04,45334.33,60,798,2367.92,0,5,0.7814,0.9451,1
66,53634.61,14696.84,36,739,36602.44,2,18,8.2806,0.274,1
30,75643.21,10188.97,60,731,38210.03,0,17,6.0886,0.1347,1
63,139180.28,30284.29,60,627,27562.41,0,13,2.4199,0.2176,1
54,25929.95,10401.49,36,556,10701.97,0,2,5.0864,0.4011,1
46,26779.47,34625.67,36,373,31594.65,0,17,14.5887,1.293,1
61,48986.37,25524.9,36,533,29368.44,0,18,7.368,0.5211,1
69,27497.58,7277.89,24,820,23196.32,0,24,10.2553,0.2647,1
23,9619.21,45799.53,24,842,7224.46,0,14,11.3932,4.7613,1
26,42772.73,34313.86,36,557,8446.57,0,15,2.6371,0.8022,1
25,82004.25,28207.67,48,528,23781.49,1,16,3.566,0.344,1
25,48422.49,19968.35,36,544,5588.58,1,2,1.5224,0.4124,1
67,71284.0,8473.28,48,726,29095.22,0,22,4.9276,0.1189,1
43,65421.34,35960.88,24,755,8897.7,0,17,1.9069,0.5497,0
69,26471.09,41055.48,24,772,36463.95,0,12,17.3055,1.551,1
29,51062.87,8039.3,48,473,36039.14,0,11,8.5087,0.1574,1
55,19631.75,25739.25,24,374,12097.35,1,18,8.0501,1.3111,1
40,36056.9,25272.62,36,398,3793.78,1,21,1.4962,0.7009,1
69,50527.44,18795.76,48,812,24650.92,0,1,5.9475,0.372,1
62,48986.91,39888.41,48,423,18212.37,0,0,4.6649,0.8143,1
55,22593.99,6777.43,60,416,6176.5,0,9,3.3404,0.3,1
38,25504.31,11840.92,24,642,21493.52,0,17,10.345,0.4643,1
37,58371.08,2076.93,48,532,39712.61,0,11,8.1731,0.0356,1
44,80534.11,19903.3,48,428,3224.83,0,12,0.5423,0.2471,0
23,43296.17,15976.55,48,673,10923.87,0,3,3.1199,0.369,1
52,42015.08,43615.71,24,535,21775.26,0,20,6.7383,1.0381,1
55,85713.5,37798.89,48,489,31837.77,0,0,4.5676,0.441,1
58,30845.94,6054.67,48,467,1241.06,0,3,0.5319,0.1963,1
33,138166.91,37565.88,36,590,29444.02,0,20,2.6479,0.2719,1
67,21869.24,34419.21,36,640,6025.4,1,19,3.8309,1.5739,1
45,91958.97,15522.77,60,694,33311.84,0,17,4.3807,0.1688,1
29,67744.65,2742.12,48,773,27840.95,0,16,4.9417,0.0405,1
24,208162.09,7527.8,24,438,18532.2,0,19,1.0864,0.0362,1
34,25016.69,13997.17,60,490,32952.54,2,13,15.9186,0.5595,1
57,12083.38,41197.87,60,818,29455.42,0,1,29.9341,3.4095,1
54,103742.57,24335.02,60,350,30487.77,0,13,3.5735,0.2346,1
31,20276.14,46082.99,48,597,11957.91,2,9,7.6452,2.2728,1
61,70931.22,39879.13,60,371,24967.04,1,24,4.3363,0.5622,1
23,99637.18,15781.19,24,555,6073.69,0,19,0.8107,0.1584,0
48,61565.47,42577.38,36,608,32924.0,0,2,6.6479,0.6916,1
49,56348.37,7602.79,36,390,21306.31,1,14,4.5824,0.1349,1
29,62352.81,3733.64,48,448,33082.9,0,6,6.3819,0.0599,1
23,81020.15,31209.83,24,329,8840.7,0,14,1.502,0.3852,1
45,69719.9,18403.67,24,761,5648.49,1,18,1.1042,0.264,0
54,23624.74,17812.43,24,684,27714.27,0,11,14.4542,0.754,1
32,146532.11,34985.99,48,817,2806.7,1,23,0.2895,0.2388,0
62,50547.3,42804.98,24,672,10137.44,0,20,2.8301,0.8468,1
29,66903.39,17464.42,36,496,36394.19,0,3,6.6148,0.261,1
35,75101.32,17600.66,24,489,5743.94,0,0,1.035,0.2344,1
60,98081.76,27624.85,24,378,15334.46,1,4,2.0169,0.2817,1
45,92158.4,33352.81,48,846,37850.52,0,8,5.019,0.3619,1
25,53052.76,11739.48,60,371,1290.13,0,7,0.3361,0.2213,1
31,51045.87,45808.6,60,342,18089.95,0,13,4.4321,0.8974,1
54,62640.45,33411.99,48,432,31565.14,0,13,6.1803,0.5334,1
44,94848.54,32007.77,48,405,36404.73,0,3,4.6902,0.3375,1
35,25145.32,45401.39,48,656,29555.29,0,24,14.5559,1.8056,1
58,72146.73,45548.72,48,307,35591.47,0,6,6.0777,0.6313,1
28,28802.18,8506.41,24,642,1857.55,0,1,0.9216,0.2953,0
25,148855.02,8963.62,24,736,4445.11,0,10,0.3885,0.0602,0
68,61107.42,38573.54,60,379,29640.2,0,6,5.9469,0.6312,1
46,38192.08,47930.24,48,691,30256.47,0,19,9.8204,1.255,1
38,63400.69,33992.66,48,587,24408.22,0,20,4.7538,0.5362,1
26,49292.19,21743.22,24,412,29345.92,0,16,7.3647,0.4411,1
57,44528.64,34806.71,48,525,34393.1,0,14,9.464,0.7817,1
68,16555.35,12982.96,36,632,22046.56,1,3,16.2417,0.7842,1
33,26515.49,49902.38,24,716,37919.31,0,1,18.102,1.882,1
48,45059.01,22692.09,36,577,27922.39,0,8,7.6041,0.5036,1
25,17800.6,46720.93,24,302,19143.29,0,11,14.2175,2.6247,1
33,34464.81,22678.31,24,844,17149.97,0,23,6.3003,0.658,1
37,36318.23,46550.71,24,777,30131.59,0,18,10.5967,1.2817,1
60,30709.72,18112.9,60,709,25403.53,0,22,10.0445,0.5898,1
65,77918.05,38506.06,60,606,32789.01,0,22,5.1486,0.4942,1
52,28908.72,47648.1,24,513,31348.96,0,21,13.8371,1.6482,1
49,51691.33,33007.07,24,329,21206.01,0,18,5.2422,0.6385,1
23,39660.13,34523.13,24,718,37855.22,3,24,11.8891,0.8705,1
60,45648.3,6938.54,24,836,28318.16,1,24,7.5203,0.152,1
54,128520.08,24762.56,48,327,8433.16,0,21,0.8356,0.1927,1
60,54601.24,44564.26,48,386,24930.24,0,2,5.6831,0.8162,1
47,61317.45,13563.67,48,325,8471.62,0,19,1.7132,0.2212,1
33,30969.24,39841.42,60,419,22574.55,0,4,9.0045,1.2865,1
65,71374.06,34434.07,36,691,31702.41,0,8,5.4909,0.4824,1
53,69590.4,12703.33,24,656,32593.96,0,18,5.7117,0.1825,1
26,65681.02,15573.98,48,652,26207.59,0,8,4.8474,0.2371,1
44,23729.97,22522.92,48,314,31440.59,0,20,16.1365,0.9491,1
39,34504.73,8006.2,48,604,19153.31,0,21,6.7191,0.232,1
36,115861.18,45841.82,24,553,22250.91,1,17,2.5024,0.3957,1
60,32446.68,37489.17,24,819,35244.48,0,15,13.6124,1.1554,1
48,125742.67,19518.28,36,485,19976.69,0,1,1.9582,0.1552,1
53,35318.5,16383.94,60,686,14361.7,0,11,4.9724,0.4639,1
68,53579.92,35099.79,36,799,31981.21,0,17,7.381,0.6551,1
61,43813.55,22362.6,24,313,2493.71,0,22,0.9382,0.5104,1
33,29528.67,13008.16,36,529,38355.1,2,10,15.7338,0.4405,1
63,29784.83,22647.24,48,390,13932.58,0,21,5.8034,0.7604,1
65,32127.07,43822.26,36,703,25369.84,0,22,9.9307,1.364,1
45,53575.04,5293.12,48,804,27575.48,1,2,6.2012,0.0988,1
62,83637.77,19681.2,36,303,5914.59,0,19,0.927,0.2353,1
56,51528.69,48192.29,48,518,33002.98,1,21,7.9195,0.9353,1
47,48048.83,2711.93,36,515,23098.46,0,2,5.7876,0.0564,1
58,101339.02,44750.74,60,458,13453.18,0,14,1.6814,0.4416,1
27,50251.86,19992.02,36,672,34102.09,0,11,8.2761,0.3978,1
25,35393.44,11096.87,24,316,25190.67,0,0,8.6976,0.3135,1
63,26939.67,2719.03,24,794,31538.24,0,21,14.0988,0.1009,1
65,105058.05,5385.09,48,765,39696.24,0,10,4.547,0.0513,1
51,40229.73,10248.48,24,743,5645.92,0,1,1.8115,0.2547,1
43,34643.16,3219.64,48,380,30109.06,0,22,10.4527,0.0929,1
62,32891.65,18120.79,60,465,30428.0,0,20,11.2114,0.5509,1
30,101571.1,4154.87,24,656,35050.24,0,13,4.1614,0.0409,1
52,34759.76,35226.37,24,533,16618.59,0,0,6.2439,1.0134,1
63,88812.05,41307.54,48,461,34851.23,0,24,4.8253,0.4651,1
50,42691.51,44598.27,60,474,25775.39,0,17,7.454,1.0447,1
59,23741.31,28358.15,60,662,3216.5,2,17,1.8647,1.1945,0
51,40155.11,47432.46,36,675,1744.91,0,14,0.9152,1.1812,1
38,48065.7,2270.98,48,473,19518.67,0,3,4.8848,0.0472,1
56,45747.73,8432.88,48,537,31540.37,0,1,8.3194,0.1843,1
22,45071.7,16071.97,60,462,15677.15,3,14,4.2452,0.3566,1
34,40410.02,39873.17,48,537,34147.37,1,12,10.3869,0.9867,1
33,30607.31,44498.68,24,531,19938.82,1,9,8.5442,1.4539,1
49,49337.64,31670.45,24,816,1538.39,0,14,0.6951,0.6419,1
32,67817.06,20395.34,24,535,38959.77,1,5,7.0442,0.3007,1
59,20382.72,33960.59,48,622,19839.66,0,20,12.0968,1.6661,1
22,106877.36,10683.17,36,843,26180.37,0,9,2.9728,0.1,1
52,5334.91,23977.95,36,706,8371.92,0,2,20.3295,4.4945,1
33,51284.77,26362.12,60,476,12244.56,0,12,2.9679,0.514,1
66,64838.33,7033.82,48,799,19629.24,2,17,3.66,0.1085,1
47,34131.92,3625.89,60,418,34319.47,0,5,12.0872,0.1062,1
69,13691.07,38005.06,48,489,4527.19,0,13,4.662,2.7759,1
61,46256.88,27665.91,36,664,31323.42,0,17,8.3253,0.5981,1
37,54274.92,17947.46,24,785,23384.36,0,10,5.3355,0.3307,1
60,24606.57,22986.97,48,378,20236.78,0,19,10.1025,0.9342,1
51,29789.76,47969.76,36,621,35125.22,0,14,14.686,1.6103,1
54,87345.54,20475.86,36,438,5165.75,1,20,0.7878,0.2344,0
44,52607.24,6967.0,36,635,39634.79,0,12,9.0851,0.1324,1
65,19826.88,24252.9,24,701,34258.02,0,15,21.3459,1.2232,1
55,64208.95,33106.32,36,525,13366.61,0,23,2.67,0.5156,1
68,28048.45,2581.43,60,565,18337.27,2,11,7.8637,0.092,1
26,30796.08,17952.35,36,632,1487.63,1,0,0.774,0.5829,1
39,55193.17,20888.69,36,523,21340.4,0,22,4.7659,0.3785,1
50,52192.5,24258.31,48,819,22134.92,0,13,5.2054,0.4648,1
27,38500.87,16480.84,48,548,37099.74,3,21,11.6703,0.4281,1
30,36223.9,34012.27,48,720,15823.06,0,2,5.4765,0.9389,1
61,42172.37,47346.04,36,486,23039.41,0,9,6.93,1.1227,1
52,30688.52,45871.91,36,548,29754.39,0,9,12.133,1.4948,1
54,94221.85,33890.88,60,426,24536.4,0,0,3.1969,0.3597,1
48,19119.88,26330.44,24,387,6668.87,2,17,4.8741,1.3771,1
35,42424.14,41639.13,36,344,7286.7,0,16,2.3883,0.9815,1
50,20421.77,42124.99,24,545,5964.41,0,18,4.5361,2.0627,1
57,85956.88,41819.51,36,710,9100.29,2,0,1.4326,0.4865,1
49,42387.71,9576.61,24,517,13469.03,0,4,3.9261,0.2259,1
42,26003.82,3220.75,48,726,29716.86,0,5,13.7444,0.1239,1
24,73941.43,49193.28,36,314,2906.57,1,0,0.6935,0.6653,1
40,12392.44,48063.4,60,634,32907.58,0,16,32.6412,3.8784,1
52,58019.27,29090.17,24,836,10867.27,0,11,2.4983,0.5014,1
56,97809.16,49667.06,48,791,24730.24,0,3,3.161,0.5078,1
24,54596.56,38986.26,60,591,22334.35,0,3,5.0518,0.7141,1
47,36173.92,26834.25,48,416,6583.88,3,23,2.3695,0.7418,1
37,23264.66,20687.89,36,768,11848.24,0,9,6.4078,0.8892,1
32,93855.23,30457.43,60,686,12188.88,1,22,1.6233,0.3245,1
42,85515.52,26758.5,24,492,25141.3,0,22,3.6844,0.3129,1
37,33282.36,49702.52,24,400,31645.77,0,24,12.1566,1.4934,1
30,33820.33,25542.1,60,369,39853.4,0,7,14.2917,0.7552,1
21,99913.52,42124.21,24,473,4287.94,2,11,0.7258,0.4216,1
42,67438.27,41053.94,48,743,37577.34,0,11,6.8387,0.6088,1
46,16781.79,5427.5,60,732,22680.28,1,2,16.2825,0.3234,1
38,43589.8,6176.32,24,514,14592.33,0,15,4.088,0.1417,1
34,42636.51,33670.89,48,836,11740.7,0,3,3.5018,0.7897,1
67,56873.27,14437.18,24,618,8757.1,0,23,1.9746,0.2538,0
49,49198.95,33561.3,48,585,22504.45,0,4,5.6595,0.6822,1
32,36039.59,8942.04,36,524,37867.67,0,14,12.6914,0.2481,1
56,54557.79,21059.27,48,648,7695.16,0,20,1.7891,0.386,1
55,37471.41,6918.57,24,687,17728.6,0,23,5.7698,0.1846,1
32,380222.63,15540.47,48,640,8552.0,0,7,0.2801,0.0409,1
27,52766.76,6238.33,24,803,7437.4,3,21,1.7505,0.1182,1
49,48590.35,48587.78,60,370,34736.3,0,24,8.7786,0.9999,1
31,148106.15,20962.8,60,428,10847.52,0,19,0.9072,0.1415,1
53,21620.43,45257.06,36,743,10294.89,0,9,6.4117,2.0933,1
26,45890.63,48616.24,48,589,36436.8,0,0,9.7928,1.0594,1
67,27729.11,45659.01,36,686,15748.59,0,9,7.3642,1.6466,1
35,71754.51,23838.06,60,317,844.31,0,17,0.2076,0.3322,0
52,36438.83,39387.07,48,375,28986.83,0,16,9.8161,1.0809,1
31,69428.74,9377.58,48,664,20921.97,2,3,3.6499,0.1351,1
43,66491.58,6551.97,36,579,31078.19,0,24,5.6417,0.0985,1
46,78293.77,44091.27,36,579,23026.64,0,21,3.717,0.5632,1
54,67151.82,3493.77,48,742,14375.05,0,12,2.5818,0.052,1
66,42854.95,48671.71,48,628,3129.29,0,21,1.1602,1.1357,1
54,21192.62,34262.43,48,835,34704.5,0,5,20.0551,1.6167,1
49,89809.94,22141.43,36,807,8679.84,2,0,1.2419,0.2465,1
24,114166.87,8786.02,24,749,38868.25,0,0,4.1239,0.077,1
37,27925.04,36715.1,60,674,10210.49,0,2,4.6506,1.3148,1
55,76231.22,29029.36,60,595,33167.91,0,4,5.2973,0.3808,1
33,24289.08,36134.1,36,775,31655.55,0,17,16.1353,1.4877,1
61,55384.74,22060.27,48,692,18778.51,0,11,4.1682,0.3983,1
59,62670.89,5180.48,60,408,16367.3,2,0,3.1505,0.0827,1
35,37959.24,17118.67,60,658,28278.76,0,8,9.0299,0.451,1
49,51898.38,17121.0,60,588,21377.82,0,16,5.009,0.3299,1
49,81545.95,2416.6,60,717,25462.35,0,12,3.7529,0.0296,1
31,45905.95,2459.89,48,617,19073.51,0,13,4.9993,0.0536,1
52,32693.04,17876.4,36,640,22507.61,0,10,8.4437,0.5468,1
22,23522.97,36925.92,48,616,7971.43,0,10,4.459,1.5698,1
67,38775.4,31954.1,48,648,2688.16,0,3,1.0379,0.8241,0
34,24225.64,13472.85,60,326,14558.99,0,8,7.3229,0.5561,1
40,39087.95,30932.61,60,700,18901.55,0,17,5.961,0.7914,1
